Código,Descripción,Final USD,Final ESP USD,Promoción,Categoría,Sub Categoría,Marca,Tipo IVA
JBLE35BLK,JBL AURICULAR E35 ON-EAR /DISEÑO PLEGABLE/ BLACK WIRED,74.34,72.1,,AUDIO,AURICULARES,JBL,21.0
JBLV310BTGML,JBL AURICULAR EVEREST 310 ON-EAR BLUETOOTH  - GUN METAL,265.33,257.35,,AUDIO,AURICULARES BLUETOOTH,JBL,21.0
JBLAWAREBLKI,JBL AURICULAR REFLECT AWARE NOISE CANCEL IN-EAR BLACK P/IPHONE,189.4,183.71,,AUDIO,AURICULARES,JBL,21.0
JBLAWAREBLUI,JBL AURICULAR REFLECT AWARE NOISE CANCEL IN-EAR BLUE P/IPHONE,189.4,183.71,,AUDIO,AURICULARES,JBL,21.0
JBLAWAREREDI,JBL AURICULAR REFLECT AWARE NOISE CANCEL IN-EAR RED P/IPHONE,189.4,183.71,,AUDIO,AURICULARES,JBL,21.0
JBLCHARGE5BLK,JBL PARLANTE CHARGE 5 BLUETOOTH BLACK,269.38,261.3,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLCHARGE5BLU,JBL PARLANTE CHARGE 5 BLUETOOTH BLUE,269.38,261.3,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLCHARGE5GRE,JBL PARLANTE CHARGE 5 BLUETOOTH GREY,269.38,261.3,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLCLIP4BLUAM,JBL PARLANTE CLIP 4 BLUETOOTH WIRELESS BLUE,126.34,122.54,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLFLIP6BLUE,JBL PARLANTE FLIP 6 BLUE,195.77,189.89,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLFLIP6GRE,JBL PARLANTE FLIP 6 GREY,195.77,189.89,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLFLIP6RED,JBL PARLANTE FLIP 6 RED,195.77,189.89,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
JBLGO3SQUADAM,JBL PARLANTE GO 3 BLUETOOTH WIRELESS SQUAD,84.0,81.48,,AUDIO,PARLANTES PORTATILES BLUETOOTH,JBL,21.0
NM-BATTLE,NETMAK AURICULAR GAMER PS4 CAMUFLADO - 1 PLUG 3.5 BATTLE,12.84,12.48,,AUDIO,AURICULARES,NETMAK,21.0
NM-INFINITY,NETMAK AURICULAR NOTEBOOK/PS4 GAMER INFINITY,14.97,14.56,,AUDIO,AURICULARES,NETMAK,21.0
