COMPUTADORAS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Servidores,,,,,,categoria
9612,Servidor LENOVO 70DJ005AAC,U$s 2526.52,$ 961339.34,+10.5%,Ver Detalles,COMPUTADORAS - Servidores
Todo en Uno (AIO),,,,,,
9083,AIO 20 HP 205G3 AMD A4-9125 4GB 1TB W10,U$s 1001.81,$ 381188.70,+10.5%,,COMPUTADORAS - Todo en Uno (AIO)
9081,AIO 22 IQUAL Q213 I3-1005G1 4GB 1TB W10,U$s 757.47,$ 288215.81,+10.5%,,COMPUTADORAS - Todo en Uno (AIO)
1512,AIO 24 ACER BJWAL02 I5-1235U 8GB SSD512 DOS,U$s 1913.21,$ 727977.55,+10.5%,,COMPUTADORAS - Todo en Uno (AIO)
9072,AIO 24 LENOVO 24ITL6 i3-1115G4 8GB SSD512 W10,U$s 1368.33,$ 520648.04,+10.5%,,COMPUTADORAS - Todo en Uno (AIO)
Mini PCs,,,,,,
1749076,Mini PC INTEL NUC NUC6CAYH J3455 4GB 240GB,U$s 570.59,$ 217108.73,+10.5%,,COMPUTADORAS - Mini PCs
Computadoras PC,,,,,,
5879,PC AMD A6 7480 4Gb SSD120Gb,U$s 390.59,$ 148618.73,+10.5%,,COMPUTADORAS - Computadoras PC
1477,PC AMD E1 6010 8Gb SSD120Gb,U$s 361.98,$ 137731.87,+10.5%,,COMPUTADORAS - Computadoras PC
9682,PC AMD Ryzen 5 5600X 8Gb SSD240Gb,U$s 816.12,$ 310532.90,+10.5%,,COMPUTADORAS - Computadoras PC
9684,PC AMD Ryzen 7 4700S 16Gb SSD240Gb,U$s 615.87,$ 234338.92,+10.5%,,COMPUTADORAS - Computadoras PC
9683,PC AMD Ryzen 7 5800X 8Gb SSD240Gb,U$s 1079.65,$ 410805.68,+10.5%,,COMPUTADORAS - Computadoras PC
9685,PC AMD Ryzen 9 5950X 8Gb SSD240Gb,U$s 1691.18,$ 643492.47,+10.5%,,COMPUTADORAS - Computadoras PC
70020979,PC INTEL Celeron G4930 4Gb SSD120Gb,U$s 411.76,$ 156676.58,+10.5%,,COMPUTADORAS - Computadoras PC
5880,PC INTEL Celeron G5905 4Gb SSD120Gb,U$s 431.76,$ 164286.58,+10.5%,,COMPUTADORAS - Computadoras PC
70020490,PC INTEL Celeron G5925 8Gb SSD240Gb,U$s 495.29,$ 188459.37,+10.5%,,COMPUTADORAS - Computadoras PC
70020008,PC INTEL Celeron J1800 4Gb SSD120Gb,U$s 313.95,$ 119457.97,+10.5%,,COMPUTADORAS - Computadoras PC
1749053,PC INTEL Core I3 10105 8Gb SSD240Gb,U$s 715.00,$ 272057.50,+10.5%,,COMPUTADORAS - Computadoras PC
70020305,PC INTEL Core I5 10400 8Gb SSD240Gb,U$s 888.00,$ 337884.00,+10.5%,,COMPUTADORAS - Computadoras PC
5905,PC INTEL Core I7 10700 16Gb SSD240Gb,U$s 1111.77,$ 423026.58,+10.5%,,COMPUTADORAS - Computadoras PC
909002,PC INTEL Pentium Gold G6405 8Gb SSD240Gb,U$s 580.71,$ 220958.63,+10.5%,,COMPUTADORAS - Computadoras PC
MEMORIAS,,,,,,
Para PC,,,,,,
70021020, DDR3 04gb 1333 1.35V Corsair  Value ,U$s 43.29,$ 16473.37,+10.5%,,MEMORIAS - Para PC
70021024, DDR3 08gb 1600  1.35V Markvision  BULK,U$s 42.89,$ 16321.17,+10.5%,,MEMORIAS - Para PC
70021025, DDR4 04gb 2400 1.20V Corsair Value,U$s 28.86,$ 10980.85,+10.5%,,MEMORIAS - Para PC
70021022,DDR3 04gb 1600 1.35V Markvision  BULK,U$s 28.79,$ 10953.83,+10.5%,,MEMORIAS - Para PC
70021021,DDR3 04gb 1600 Corsair Value,U$s 43.29,$ 16473.37,+10.5%,,MEMORIAS - Para PC
70021023,DDR3 08gb 1333 1.5V Corsair  Value,U$s 71.13,$ 27064.58,+10.5%,,MEMORIAS - Para PC
9579,DDR4 04GB 2400 1.20V KINGSTON KVR24N17S6/4,U$s 30.60,$ 11642.16,+10.5%,,MEMORIAS - Para PC
70021029,DDR4 04Gb 2400 1.20V Markvision BULK,U$s 39.27,$ 14942.62,+10.5%,,MEMORIAS - Para PC
70021026,DDR4 04Gb 2666 1.20V Corsair  Value ,U$s 31.07,$ 11822.52,+10.5%,,MEMORIAS - Para PC
70021048,DDR4 04GB 2666 1.20V CORSAIR MV4GX4M1A2666C18,U$s 30.60,$ 11642.16,+10.5%,,MEMORIAS - Para PC
70021027,DDR4 04Gb 2666 1.20V HIKVISION ,U$s 34.86,$ 13263.85,+10.5%,,MEMORIAS - Para PC
70021028,DDR4 04Gb 2666 1.20V Kingston FURY BEAST,U$s 44.35,$ 16876.32,+10.5%,,MEMORIAS - Para PC
70021030,DDR4 04GB 2666 1.20V Markvision  BULK,U$s 39.05,$ 14857.38,+10.5%,,MEMORIAS - Para PC
70021049,DDR4 04GB 2666 1.20V PATRIOT PSD44G266681,U$s 30.60,$ 11642.16,+10.5%,,MEMORIAS - Para PC
752002,DDR4 08Gb 2400 1.20v CRUCIAL Ballistix BLS8G4D240F,U$s 49.47,$ 18823.33,+10.5%,Ver Detalles,MEMORIAS - Para PC
9675,DDR4 08Gb 2400 1.20v KINGSTON KVR24N17S8-8,U$s 49.47,$ 18823.33,+10.5%,Ver Detalles,MEMORIAS - Para PC
9597,DDR4 08Gb 2400 1.20v MARKVISION K8GBD4-2400,U$s 50.84,$ 19342.72,+10.5%,,MEMORIAS - Para PC
9607,DDR4 08Gb 2400 1.20v MUSHKIN C27679C,U$s 50.84,$ 19342.72,+10.5%,Ver Detalles,MEMORIAS - Para PC
752001,DDR4 08Gb 2400 1.20v PATRIOT PSD44G240081,U$s 50.84,$ 19342.72,+10.5%,,MEMORIAS - Para PC
1812,DDR4 08GB 2666 1.20V CORSAIR CMK8GX4M1A2666C16,U$s 63.68,$ 24231.00,+10.5%,Ver Detalles,MEMORIAS - Para PC
9608,DDR4 08GB 2666 1.20v CRUCIAL CT8G4DFS8266,U$s 49.48,$ 18827.90,+10.5%,Ver Detalles,MEMORIAS - Para PC
9689,DDR4 08Gb 2666 1.20v KINGSTON KVR26N19S6/8,U$s 49.48,$ 18827.90,+10.5%,Ver Detalles,MEMORIAS - Para PC
70020141,DDR4 08Gb 2666 1.20v LEXAR LD4AU008G-R2666G,U$s 49.48,$ 18827.90,+10.5%,,MEMORIAS - Para PC
70021031,DDR4 08Gb 3000 1.35VCorsairVengeance LPX Bl,U$s 61.27,$ 23313.62,+10.5%,,MEMORIAS - Para PC
70020059,DDR4 08Gb 3200 1.20v KINGSTON HX432C16FB3A/8 Hyper,U$s 83.70,$ 31849.75,+10.5%,Ver Detalles,MEMORIAS - Para PC
70021032,DDR4 08Gb 3200 1.35V Markvision  BULK,U$s 58.45,$ 22239.08,+10.5%,,MEMORIAS - Para PC
9677,DDR4 16Gb 2133 1.20v HP RDIMM 726719-B21,U$s 135.11,$ 51408.97,+10.5%,Ver Detalles,MEMORIAS - Para PC
752003,DDR4 16Gb 2400 1.20v CORSAIR CMV16GX4M1A2400C16,U$s 120.22,$ 45745.23,+10.5%,Ver Detalles,MEMORIAS - Para PC
9598,DDR4 16Gb 2400 1.20v CRUCIAL BLS16G4D26BFSC,U$s 120.22,$ 45745.23,+10.5%,Ver Detalles,MEMORIAS - Para PC
70020105,DDR4 16Gb 2400 1.20v MARKVISION K16GBD4-2400,U$s 111.62,$ 42472.55,+10.5%,,MEMORIAS - Para PC
70020204,DDR4 16Gb 2666 1.20v KINGSTON KF426C16BB1 16,U$s 86.11,$ 32762.95,+10.5%,Ver Detalles,MEMORIAS - Para PC
Para Notebooks,,,,,,
9154,Sodimm DDR3 04Gb 1333 1.35v CORSAIR CMSO4GX3M1C133,U$s 46.40,$ 17655.20,+10.5%,Ver Detalles,MEMORIAS - Para Notebooks
5588,Sodimm DDR3 04Gb 1333 1.35v ICOLAX SD3413,U$s 46.40,$ 17655.20,+10.5%,,MEMORIAS - Para Notebooks
8787,Sodimm DDR3 04Gb 1333 1.50v NOVATECH SD3413,U$s 46.40,$ 17655.20,+10.5%,,MEMORIAS - Para Notebooks
9168,Sodimm DDR3 04Gb 1600 1.50V GOLDEN MEMORY GM16,U$s 46.40,$ 17655.20,+10.5%,,MEMORIAS - Para Notebooks
8736,Sodimm DDR3 04Gb 1600 1.50v TRANSCEND 713218-4826,U$s 46.40,$ 17655.20,+10.5%,,MEMORIAS - Para Notebooks
